id,instructor_id,student_id,grad_date,grade
1,A2EB3077-9B68-97D4-9963-9B3462E9C35B,0A5576AE-9E38-5333-EABE-7E8DE0F3ACD3,2018-06-14,C
2,99B28EF4-D47A-FD3D-0298-5D783BDC2C3F,53121C3E-FCB8-CB44-7381-BE13D95D5B58,2018-06-26,D-
3,1ECDE44C-FA80-B1B7-55B3-AC6BB57DC5B2,B5AC1F76-5DA6-017A-2A6C-2C685AAD32A4,2019-09-05,A-
4,AB538452-2535-AD05-F812-CAAEDB63DC4F,4C67B837-CA49-532E-2BA1-D256C31E6B46,2017-08-28,A+
5,A2EB3077-9B68-97D4-9963-9B3462E9C35B,8D8258D9-BDB8-7AEA-2EEE-9EE9919DA168,2021-04-22,B-
6,860AC510-9AEE-6EEC-EA56-84646D575447,648A2DE2-9007-B9E0-314A-6311A693F159,2017-01-27,F
7,4D954573-D9C7-01E7-EAEC-8EAE910FB29E,3E7D2A87-C511-84E1-A761-C4F45F86B9C6,2021-01-31,D-
8,251531CB-F77F-D1A2-5414-F7C14CC89CF8,3E7D2A87-C511-84E1-A761-C4F45F86B9C6,2021-10-21,C
9,4D954573-D9C7-01E7-EAEC-8EAE910FB29E,9A24CF84-96EA-3F9C-87F6-39B68DC8D1BE,2019-01-24,B-
10,418D4CDD-A4ED-5EF2-1134-CECF969C45E9,2AB61D44-FB24-63A2-75D8-D75881DC1EE9,2020-04-29,F
11,83C5589D-44B7-587C-AF68-50F3BD12EF28,29A6B575-981B-D96B-9AE9-B144C2535A25,2018-12-23,C
12,68C594E3-83A0-EACD-C681-576994EB041E,62ABE945-616D-41EB-C32E-C111C832DDBA,2018-05-23,C+
13,418D4CDD-A4ED-5EF2-1134-CECF969C45E9,3EF8EC1C-AB16-C6AF-8FBB-341067AF272D,2018-09-26,A+
14,1B13349B-3DA1-37E1-0546-6E1CD9395F94,594D3241-EA64-53BA-737C-A26ACA4DED65,2019-02-27,F
15,A39E9D52-2146-BA6F-D955-4C60C68CF133,6E6D565E-6D74-BBD3-6653-6973D11D48E5,2021-04-12,C-
16,428A3368-2033-E471-3DBB-E5E39FA22164,8515B6DA-F7CA-E866-7DD3-95CA6DA54333,2017-01-17,B+
17,3AA1182C-ABD1-ABF6-36A9-5833DD3375A9,E3E90425-8344-8B50-505E-ABAAA6512519,2020-11-17,B+
18,AF0C7752-6A63-55E2-A4ED-9B9B922A3EA6,F476AE58-B31B-F23B-D496-44B2720ECD95,2021-03-29,C
19,4DC3EBE9-9273-D5C6-4EFE-979A6A39FD36,554733BA-91CB-913C-5E6D-43E5C74B3540,2019-02-16,A
20,99B28EF4-D47A-FD3D-0298-5D783BDC2C3F,151B8449-EB8B-864D-DB61-11E11D477CFD,2017-11-25,A-
21,F99C396B-651A-6CC9-642A-86EC0D7D9471,6607C7C7-5511-97EF-357E-146D98384DD3,2017-07-19,D-
22,AB538452-2535-AD05-F812-CAAEDB63DC4F,5588A1D7-8D32-6211-E79D-2232BD693615,2021-04-08,B
23,DA430AD1-845C-437C-E99D-6C39F7A4413B,596871A5-9D24-8145-F126-D3EB45BA95B4,2019-06-11,A-
24,1ECDE44C-FA80-B1B7-55B3-AC6BB57DC5B2,08D3DE58-FB5F-AB71-0E10-26DA56026448,2021-02-04,B+
25,DA430AD1-845C-437C-E99D-6C39F7A4413B,86CBEBD8-4691-034C-33ED-21A421442134,2021-10-05,D+
26,543ACB58-16F0-366B-A18A-E15B894AD9E9,52962BBD-8B09-747F-299B-E5EB45185315,2018-01-26,B+
27,68C594E3-83A0-EACD-C681-576994EB041E,53121C3E-FCB8-CB44-7381-BE13D95D5B58,2019-09-25,D+
28,1B13349B-3DA1-37E1-0546-6E1CD9395F94,E26A379E-9DA5-D7F7-E188-91D76DDC82C5,2017-08-24,D+
29,860AC510-9AEE-6EEC-EA56-84646D575447,2222EE78-298C-39EC-C42B-09DAE73F5974,2019-08-14,D
30,4D954573-D9C7-01E7-EAEC-8EAE910FB29E,5127D3B3-9A06-184A-AE8B-322EA763524F,2020-02-09,B+
31,860AC510-9AEE-6EEC-EA56-84646D575447,B2B91744-BA44-8A58-BE69-145926A774E9,2020-02-24,D
32,1ECDE44C-FA80-B1B7-55B3-AC6BB57DC5B2,C27B8680-56CD-37CA-97B2-B2A94C97DD17,2016-11-06,B-
33,99B28EF4-D47A-FD3D-0298-5D783BDC2C3F,95CE27EC-C683-5778-72F9-718EE98EFDEB,2021-01-31,B
34,4DC3EBE9-9273-D5C6-4EFE-979A6A39FD36,6A9085E1-E642-5689-778B-2BCD501C8AAB,2019-01-23,C
35,AF0C7752-6A63-55E2-A4ED-9B9B922A3EA6,9711FC7E-CB0D-9C7D-E9A5-31E70919B98A,2019-07-09,A-
36,FBA41AB5-BD23-5D83-8D6E-B64AED8C315E,594D3241-EA64-53BA-737C-A26ACA4DED65,2018-09-23,A
37,68C594E3-83A0-EACD-C681-576994EB041E,A8760C64-2C36-093A-3CAB-9E3970B090B5,2017-10-19,D+
38,83C5589D-44B7-587C-AF68-50F3BD12EF28,29A6B575-981B-D96B-9AE9-B144C2535A25,2017-11-19,C
39,860AC510-9AEE-6EEC-EA56-84646D575447,15BE76DD-54AF-6BDD-5878-DE33DE23D977,2017-09-09,A+
40,A39E9D52-2146-BA6F-D955-4C60C68CF133,4AADF33D-F735-6981-1BDE-15AC8FCD1D07,2021-06-19,C+
41,251531CB-F77F-D1A2-5414-F7C14CC89CF8,1C65D026-6474-58DD-B09B-D429744E422E,2021-08-25,D+
42,55E9D3E5-4AEB-CBE9-1E95-CCB28BE0BED0,39463A65-E266-A981-E87D-23C7D4CD33F6,2019-10-26,B+
43,543ACB58-16F0-366B-A18A-E15B894AD9E9,9A1E59F5-E11C-DDBA-7247-5912C8A786A5,2020-03-27,F
44,A39E9D52-2146-BA6F-D955-4C60C68CF133,E5C66A3A-1D75-6F42-6175-E80CE7226456,2020-01-14,F
